ocel_id;ocel_time;ocel_changed_field
i5973;2023-10-16 17:15:47;
i5974;2023-10-16 17:15:47;
i5975;2023-10-16 17:15:47;
i5976;2023-10-16 17:15:47;
i5977;2023-10-16 17:15:47;
i5978;2023-10-16 17:15:47;
i5979;2023-10-16 17:15:47;
i5980;2023-10-16 17:15:47;
i5981;2023-10-16 17:15:47;
i5982;2023-10-16 17:15:47;
i5983;2023-10-16 17:15:47;
i5984;2023-10-16 17:15:47;
i5985;2023-10-16 17:15:47;
i5986;2023-10-16 20:46:04;
i5987;2023-10-16 20:46:04;
i5988;2023-10-16 20:46:04;
i5989;2023-10-16 20:46:04;
i5990;2023-10-16 20:46:04;
i5991;2023-10-16 20:46:04;
i5992;2023-10-16 20:46:04;
i5993;2023-10-16 20:46:04;
i5994;2023-10-16 20:46:04;
i5995;2023-10-16 20:46:04;
i5996;2023-10-16 20:46:04;
i5997;2023-10-16 20:46:04;
i5998;2023-10-17 09:42:50;
i5999;2023-10-17 09:42:50;
i6000;2023-10-17 09:42:50;
i6001;2023-10-17 09:42:50;
i6002;2023-10-17 09:42:50;
i6003;2023-10-17 12:55:01;
i6004;2023-10-17 12:55:01;
i6005;2023-10-17 12:55:01;
i6006;2023-10-17 12:55:01;
i6007;2023-10-17 16:19:23;
i6008;2023-10-17 16:19:23;
i6009;2023-10-17 16:19:23;
i6010;2023-10-17 16:19:23;
i6011;2023-10-17 16:19:23;
i6012;2023-10-17 16:19:23;
i6013;2023-10-17 16:19:23;
i6014;2023-10-17 16:19:23;
i6015;2023-10-17 16:19:23;
i6016;2023-10-17 16:19:23;
i6017;2023-10-17 16:19:23;
i6018;2023-10-17 16:19:23;
i6019;2023-10-17 16:19:23;
i6020;2023-10-17 16:19:23;
i6021;2023-10-17 16:19:23;
i6022;2023-10-17 19:08:08;
i6023;2023-10-17 19:08:08;
i6024;2023-10-17 19:08:08;
i6025;2023-10-17 19:08:08;
i6026;2023-10-17 19:08:08;
i6027;2023-10-17 19:08:08;
i6028;2023-10-17 19:08:08;
i6029;2023-10-17 19:08:08;
i6030;2023-10-17 19:08:08;
i6031;2023-10-17 19:08:08;
i6032;2023-10-17 19:08:08;
i6033;2023-10-17 19:08:08;
i6034;2023-10-18 04:42:20;
i6035;2023-10-18 04:42:20;
i6036;2023-10-18 04:42:20;
i6037;2023-10-18 04:42:20;
i6038;2023-10-18 04:42:20;
i6039;2023-10-18 04:42:20;
i6040;2023-10-18 04:42:20;
i6041;2023-10-18 04:42:20;
i6042;2023-10-18 04:42:20;
i6043;2023-10-18 04:42:20;
i6044;2023-10-18 04:42:20;
i6045;2023-10-18 11:21:55;
i6046;2023-10-18 11:21:55;
i6047;2023-10-18 11:21:55;
i6048;2023-10-18 11:21:55;
i6049;2023-10-18 14:13:11;
i6050;2023-10-18 14:13:11;
i6051;2023-10-18 14:13:11;
i6052;2023-10-18 14:13:11;
i6053;2023-10-18 14:13:11;
i6054;2023-10-18 14:13:11;
i6055;2023-10-18 14:13:11;
i6056;2023-10-18 14:13:11;
i6057;2023-10-18 14:13:11;
i6058;2023-10-18 14:13:11;
i6059;2023-10-18 14:13:11;
i6060;2023-10-18 16:55:44;
i6061;2023-10-18 16:55:44;
i6062;2023-10-18 16:55:44;
i6063;2023-10-18 16:55:44;
i6064;2023-10-18 16:55:44;
i6065;2023-10-18 16:55:44;
i6066;2023-10-18 16:55:44;
i6067;2023-10-18 16:55:44;
i6068;2023-10-18 16:55:44;
i6069;2023-10-18 20:45:54;
i6070;2023-10-18 20:45:54;
i6071;2023-10-18 20:45:54;
i6072;2023-10-18 20:45:54;
i6073;2023-10-18 20:45:54;
i6074;2023-10-18 20:45:54;
i6075;2023-10-18 20:45:54;
i6076;2023-10-18 20:45:54;
i6077;2023-10-18 20:45:54;
i6078;2023-10-18 20:45:54;
i6079;2023-10-18 20:45:54;
i6080;2023-10-19 09:42:30;
i6081;2023-10-19 09:42:30;
i6082;2023-10-19 09:42:30;
i6083;2023-10-19 09:42:30;
i6084;2023-10-19 09:42:30;
i6085;2023-10-19 09:42:30;
i6086;2023-10-19 09:42:30;
i6087;2023-10-19 09:42:30;
i6088;2023-10-19 09:42:30;
i6089;2023-10-19 12:54:22;
i6090;2023-10-19 12:54:22;
i6091;2023-10-19 12:54:22;
i6092;2023-10-19 12:54:22;
i6093;2023-10-19 12:54:22;
i6094;2023-10-19 12:54:22;
i6095;2023-10-19 12:54:22;
i6096;2023-10-19 12:54:22;
i6097;2023-10-19 12:54:22;
i6098;2023-10-19 12:54:22;
i6099;2023-10-19 12:54:22;
i6100;2023-10-19 12:54:22;
i6101;2023-10-19 12:54:22;
i6102;2023-10-19 16:18:05;
i6103;2023-10-19 16:18:05;
i6104;2023-10-19 16:18:05;
i6105;2023-10-19 16:18:05;
i6106;2023-10-19 16:18:05;
i6107;2023-10-19 16:18:05;
i6108;2023-10-19 16:18:05;
i6109;2023-10-19 16:18:05;
i6110;2023-10-19 16:18:05;
i6111;2023-10-19 16:18:05;
i6112;2023-10-19 16:18:05;
i6113;2023-10-19 16:18:05;
i6114;2023-10-19 16:18:05;
i6115;2023-10-19 16:18:05;
i6116;2023-10-19 16:18:05;
i6117;2023-10-19 16:18:05;
i6118;2023-10-19 19:05:31;
